Depth (ft),ROP (ft/hr),WOB (k-lbs),Temp Out (degF),Temp In (degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (liters/min),Flow Out (%),WH Pressure (psi)
166.95,138.68,0,94.55,94.95,255.57,376.79,47.1,8.59,128.73,3762.66,82.78,-1231.83
167.98,80.83,0,95.89,95.03,254.32,375.65,45.72,8.59,126.02,3758.04,85.98,-1231.83
169.01,61.97,0,96.96,95.14,253.19,376.79,47.4,8.63,110.61,3759.59,88.49,-1231.45
170.01,119.72,0,97.15,95.18,252.84,378.32,43.28,8.63,116.59,3768.83,89.73,-1231.83
171.05,109.37,0,97.18,95.22,252.47,379.08,44.2,8.63,123.81,3762.66,89.78,-1231.45
172.05,106.59,0,97.11,95.26,251.09,376.03,44.96,8.63,113.19,3755.73,90.12,-1231.45
173.05,63.26,0,97.15,95.33,249.97,376.03,48.01,8.67,116.18,3758.8,93.57,-1231.45
174.05,116.31,0,97.15,95.41,249.52,374.51,47.1,8.7,108.76,3751.87,95.25,-1231.83
175.05,185.92,0,97.11,95.41,249.14,373.36,46.71,8.7,109.91,3749.56,95.27,-1231.83
176.09,84.51,0,97.03,95.45,248.47,372.6,48.32,8.7,113.56,3738.05,96.37,-1231.45
177.09,133.55,0,97.03,95.52,247.34,376.03,48.7,8.74,116.96,3740.36,95.48,-1231.83
178.09,150.24,0,97.03,95.52,247.26,376.03,48.54,8.74,113.93,3738.05,92.66,-1231.45
179.15,112.68,0,96.96,95.56,246.31,373.36,48.7,8.78,113.89,3737.26,94.97,-1231.45
180.15,112.68,0,97.03,95.6,246.16,376.03,47.48,8.78,100.73,3744.94,95.86,-1231.45
181.16,97.45,0,97.26,95.67,245.16,372.98,45.95,8.78,85.6,3749.56,96.7,-1231.45
182.19,132.8,0,97.34,95.71,244.29,371.46,47.93,8.82,89.7,3742.63,96.65,-1231.83
183.19,133.54,0,97.41,95.71,243.38,374.51,48.62,8.82,108.15,3746.5,97.42,-1231.83
184.22,143.02,0,97.3,95.75,243.28,377.18,48.54,8.82,81.91,3748.81,96.74,-1231.83
185.26,153.25,0,97.3,95.79,242.71,371.08,48.01,8.78,87.65,3736.46,96.3,-1231.45
186.26,212.1,0,97.26,95.79,242.14,370.69,47.32,8.78,82.73,3735.71,98.75,-1231.83
187.26,80.13,0,97.11,95.87,241.48,374.13,41.53,8.78,117.7,3741.08,98.77,-1231.83
188.26,68.41,0,97.07,95.87,240.08,374.51,48.47,8.74,113.72,3738.02,97.86,-1231.83
189.29,185.92,0,97.11,95.87,239.67,372.6,46.56,8.7,101.75,3738.77,100.21,-1231.83
190.33,66.4,0,97.11,95.94,238.46,374.51,48.77,8.67,154.14,3738.77,96.32,-1231.45
191.33,200.33,0,97.15,95.94,237.94,374.89,41.99,8.63,93.6,3748.01,98.26,-1231.45
192.39,87.07,0,97.34,95.98,236.34,376.41,49.31,8.63,47.23,3751.83,99.66,-1231.45
193.39,91.21,0,97.45,96.06,235.49,375.27,49.46,8.63,98.23,3759.56,96.72,-1231.83
194.4,240.39,0,97.45,96.06,235.22,375.27,50.22,8.67,83.22,3761.11,96,-1231.83
195.43,95.34,0,97.41,96.09,236.45,371.46,49.69,8.67,87.37,3741.08,94.53,-1231.83
196.54,450.72,0,91.62,96.48,222.97,394.33,37.11,8.25,0,3855.14,95.41,-1231.83
197.73,611.7,0,91.62,96.44,222.89,393.57,33.68,8.21,0,3856.69,94.97,-1231.45
198.77,619.74,0,91.66,96.44,222.85,392.43,44.5,8.25,15.22,3852.83,94.09,-1231.83
199.8,676.08,0,88.91,96.63,218.56,422.93,58.69,8.09,0,3903.74,97.23,-1231.45
200.92,507.06,0,88.91,96.63,218.17,424.07,56.7,8.09,17.51,3919.15,97.6,-1231.83
201.99,383.1,0,88.87,96.63,217.82,423.69,54.49,8.09,16.74,3914.53,98.56,-1231.45
202.99,360.58,0,88.87,96.63,217.59,427.88,56.4,8.06,52.93,3923.01,97.86,-1231.45
204.05,79.81,0,88.95,96.48,217.08,435.51,57.54,8.06,0,3982.25,98.7,-1231.45
205.06,212.1,0,89.33,96.44,216.83,433.98,59.14,8.06,49.9,3996.86,98.72,-1231.45
206.09,179.26,0,90.59,96.36,216.22,437.79,56.93,8.06,68.88,3992.24,97.91,-1231.45
207.12,195.71,0,91.62,96.32,216.12,438.94,58,8.06,6.49,3984.56,97.05,-1231.45
208.15,185.92,0,91.47,96.25,215.31,432.46,57.24,8.06,0,3984.56,97.4,-1231.45
209.16,240.38,0,91.35,96.21,215.36,436.65,58.23,8.09,0,3986.11,97.16,-1231.83
210.16,144.23,0,90.97,96.17,215.11,438.56,57.92,8.06,0,4005.34,98.42,-1231.83
211.16,154.94,0,90.59,96.13,215.09,439.32,57.85,8.06,0,3998.42,98.33,-1231.45
212.16,200.32,0,90.28,96.09,214.52,438.94,56.47,8.09,0,4004.59,97.35,-1231.45
213.22,166.57,0,90.05,96.06,214.17,437.41,56.17,8.06,0,3993.8,97.37,-1231.45
214.29,182.44,0,89.9,96.06,213.88,441.23,56.17,8.09,0,3997.66,97.28,-1231.83
215.38,127.22,0,89.56,96.02,213.09,438.94,57.31,8.06,0,3986.87,95.72,-1231.45
216.39,139.72,0,89.22,95.98,212.46,440.46,57.47,8.09,0,3996.86,96.14,-1231.45
217.39,133.54,0,89.52,95.94,212.41,447.71,57.77,8.13,0,4024.57,97.65,-1231.83
218.42,232.4,0,89.86,95.98,211.89,449.61,48.77,8.13,0,4039.22,97.07,-1231.45
219.45,123.58,0,94.02,96.02,210.59,447.33,53.65,8.13,0,4042.29,97.95,-1231.83
220.52,166.56,0,95.39,96.02,209.34,447.71,48.7,8.13,0,4037.67,97.56,-1231.45
221.52,225.35,0,97.41,96.02,208.91,444.66,55.71,8.13,0,4030.74,98.42,-1231.83
222.52,112.68,0,97.45,96.09,208.69,442.75,53.73,8.13,0,3999.21,97.81,-1231.83
223.52,100.82,0,98.33,96.13,207.54,443.89,56.78,8.13,0,4008.45,96.21,-1231.83
