Depth (ft),ROP (ft/hr),WOB (k-lbs),Temp Out (degF),Temp In (degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (liters/min),Flow Out (%),WH Pressure (psi)
3708.38,15.09,20.78,142.55,137.12,206.54,1866.99,79.62,167.27,45.13,2770.54,95.55,3.31
3709.39,16.18,19.08,142.63,137.16,206.18,1871.53,81.32,171.69,50.47,2764.83,95.25,3.31
3710.39,15.29,16.75,142.74,137.23,205.77,1878.34,83.65,152.66,51.72,2763.2,91.95,3.31
3711.39,13.37,15.13,142.78,137.27,204.93,1880.61,85.27,165.86,47.24,2764.83,92.05,3.31
3712.39,15.16,17.21,142.86,137.35,204.54,1879.85,83.19,169.71,45.35,2755.85,94.05,3.69
3713.4,13.88,15.79,143.01,137.27,203.55,1882.88,84.61,179.66,42.66,2763.99,87.34,3.31
3714.4,15.01,18.04,143.05,137.19,203.11,1882.12,82.36,171.99,49.74,2779.85,92.15,3.31
3715.4,16.47,18.87,143.09,137.16,202.69,1879.85,81.53,167.65,53.77,2750.14,90.39,3.31
3716.4,14.94,18.08,143.13,137.08,202.14,1892.71,82.32,167,52.61,2770.54,91.29,3.69
3717.4,19.59,19.16,143.16,137.19,202.13,1897.25,81.24,166.12,52.85,2757.48,91.14,3.31
3718.41,16.11,20.49,143.2,137.35,201.65,1892.71,79.91,166.05,51.51,2764.83,90.24,3.31
3719.41,15.82,20.24,143.24,137.46,201.35,1890.44,80.16,160.52,50.68,2761.57,90.09,3.31
3720.41,16.19,20.53,143.24,137.5,200.63,1894.22,79.87,179.58,48.58,2763.99,89.94,3.69
3721.41,16.08,18.66,143.35,137.65,200.43,1891.96,81.74,179.73,50.23,2785.57,89.49,3.69
3722.42,16.56,20.74,143.43,137.77,199.82,1886.66,79.66,173.98,51.14,2759.94,91.24,3.31
3723.42,18.99,18.95,143.51,137.73,199.61,1897.25,81.45,167.23,47.27,2759.94,91.29,3.31
3724.42,14.79,20.78,143.51,137.73,199.48,1891.96,79.62,167.8,51.3,2763.99,92.75,2.92
3725.42,15.42,19.53,143.58,137.84,198.95,1898.01,80.87,163.49,50.35,2760.74,93.85,3.31
3726.43,15.3,19.2,143.66,137.92,198.63,1901.03,81.2,165.89,47.36,2755.02,92.2,3.31
3727.43,19.41,19.74,143.74,137.88,198.42,1901.79,80.66,153.92,54.25,2748.51,90.94,2.92
3728.43,19.2,19.16,143.74,137.88,197.75,1903.3,81.24,161.55,50.01,2758.28,87.84,3.31
3729.43,16.66,20.16,143.77,137.92,197.88,1903.3,80.24,159.98,49.28,2760.74,91.14,3.31
3730.44,16.18,19.62,143.85,137.8,198.5,1905.57,80.78,170.93,47.48,2757.48,91.49,3.31
3731.44,14.98,19.86,143.85,137.38,199.83,1901.79,80.54,167.95,46.23,2763.2,93.95,3.31
3732.44,16.95,20.82,143.81,137.08,200.79,1913.13,79.58,169.1,46.54,2755.02,86.84,3.31
3733.44,17.42,19.53,143.85,137,201.32,1905.57,80.87,165.67,55.29,2753.39,91.09,3.31
3734.45,18.51,19.95,143.85,136.96,202.2,1910.11,80.45,159.45,53.34,2755.02,90.89,3.31
3735.47,9.47,9.98,144.12,135.94,199.06,1887.42,90.42,168.87,55.66,2771.34,92.35,3.31
3736.47,11.9,19.62,144.27,136.16,197.73,1889.69,80.78,188.43,54.71,2780.69,91.75,3.31
3737.47,10.61,20.28,143.93,136.39,197.12,1835.98,80.12,183.93,54.62,2788.48,95.7,3.31
3738.47,9.46,19.82,143.74,136.24,198.07,1842.79,80.58,181.37,53.61,2785.23,93.05,3.31
3739.47,10.33,20.49,143.62,134.91,204.24,1862.46,79.91,183.32,54.53,2799.42,90.54,3.69
3740.47,10.32,20.99,143.32,133.23,212.46,1855.65,79.41,182.82,53.8,2805.14,91.54,3.31
3741.48,8.98,19.74,143.09,132.5,220.83,1849.6,80.66,170.16,58.16,2791.74,92.75,3.69
3742.48,10.71,18.08,142.36,132.43,226.08,1841.28,82.32,166.77,54.19,2804.8,92.65,3.31
3743.48,10.17,18.25,141.71,134.18,226.25,1775.47,82.15,162.2,45.19,2746.88,88.29,3.31
3744.49,10.35,18.2,134.55,135.13,226.2,1782.28,82.2,179.35,45.07,2746.05,84.49,3.69
3745.49,13.08,18.33,141.56,135.63,226.19,1781.52,82.07,185.99,48.92,2737.91,84.79,4.07
3746.49,11.32,19.16,141.64,135.97,225.72,1789.84,81.24,179.54,52.61,2736.28,89.64,4.07
3747.49,9.81,18.74,141.79,136.05,225.33,1775.47,81.66,181.83,55.29,2750.14,84.74,3.69
3748.5,12.8,17.71,141.91,136.01,224.74,1784.55,82.69,175.08,57.73,2742.79,87.79,3.69
3749.5,11.28,17.79,141.94,135.94,223.79,1789.84,82.61,166.05,57,2758.66,88.24,3.69
3750.5,11.53,20.16,142.1,135.97,223.85,1797.41,80.24,175.46,57.06,2757.03,87.39,3.69
3751.5,10.75,18.7,142.36,135.94,223.56,1818.58,81.7,184.65,56.88,2760.74,83.09,4.07
3752.51,10.41,18.33,142.55,136.01,223.13,1823.12,82.07,178.48,55.75,2759.11,89.59,4.07
3753.51,10,18.7,142.67,136.2,222.3,1820.1,81.7,174.32,54.74,2756.65,81.39,3.69
3754.51,10.68,18.7,142.78,136.43,221.8,1817.83,81.7,178.63,55.02,2759.11,80.29,4.45
3755.52,10.81,18.37,142.9,136.66,221.38,1829.17,82.03,170.43,53.34,2763.99,81.69,4.07
3756.52,12.36,18.7,143.01,137.08,221.3,1843.55,81.7,175.43,55.47,2755.85,83.69,4.45
3757.52,16.04,19.66,143.13,137.38,221.2,1836.74,80.74,168.3,49.25,2762.37,80.89,4.83
3758.52,10.03,18.45,143.32,137.69,221.4,1823.12,81.95,172.87,52.82,2755.02,90.69,4.45
3759.53,9.5,18.12,143.47,137.61,221.28,1823.12,82.28,181.83,58.28,2758.28,84.29,4.83
3760.53,10,19.28,143.66,137.61,221.04,1821.61,81.12,168.49,56.7,2755.02,90.99,4.83
3761.53,9.81,18.37,143.81,137.61,220.97,1820.76,82.03,181.72,53.31,2751.77,91.44,4.83
3762.54,10.47,18.29,143.93,137.54,220.98,1823.79,82.11,171.77,54.32,2751.77,93.1,4.45
3763.54,12.58,18.7,143.96,137.5,220.85,1826.82,81.7,174.36,52.97,2750.14,93.75,4.83
3764.54,11.54,17.83,144.08,137.46,221.4,1829.09,82.57,167.08,55.2,2746.88,93.25,4.83
3765.55,11.61,18.74,144.12,137.77,221.38,1824.55,81.66,158.46,56.27,2747.68,93.45,4.83
3766.55,11.08,18.12,144.23,137.92,222.59,1831.37,82.28,179.35,54.32,2746.05,93.6,5.21
3767.82,10,5,141.98,133.23,231.68,1825,103.92,48.16,0,1118.55,6.19,4.07
3769.06,22.29,4,140.38,132.77,223.8,1801.06,104.79,94.14,94.56,2775.12,96.8,5.97
3770.14,22.68,4.61,140.46,132.77,223.81,1813.94,99.68,96.39,107.59,2776.75,98.2,5.97
3771.23,21.54,2.95,140.61,132.66,223.82,1802.58,101.34,98.76,119.45,2771.07,95.85,5.59
3772.29,15.16,20.68,140.76,132.66,223.81,1828.34,83.61,104.89,122.78,2753.13,95.45,5.97
3773.3,11.49,28.64,143.32,137.38,224.74,1796.52,78.65,107.83,42.9,2720.76,94.8,6.36
3774.3,12.17,29.23,143.43,137.27,225.03,1795,78.06,114.2,43.45,2721.6,94.6,5.97
3775.3,11.6,28.08,143.51,137.31,225.59,1791.97,79.21,83.28,43.39,2720.76,91.65,6.36
3776.32,11.03,28.51,143.54,137.38,226.44,1797.27,78.78,107.98,39.92,2719.93,90.59,6.36
3777.32,12.23,29.15,143.62,137.54,226.69,1795.76,78.14,104.59,42.33,2719.14,92.4,5.97
3778.32,11.1,28.64,143.7,137.69,227.22,1791.21,78.65,90.6,43.64,2726.48,93.9,5.97
3779.33,9.97,27.57,143.77,137.84,228.38,1793.49,79.72,108.94,49.19,2729.73,93.75,5.97
3780.35,9.78,29.11,143.89,138.11,228.95,1772.27,78.18,112.14,41.32,2751.77,92.6,6.36
3781.35,9.94,28.34,144.04,138.34,228.62,1684.39,78.95,99.18,50.41,2799.92,92.75,5.97
3782.35,11.27,27.66,144.19,138.6,228.38,1741.97,79.63,106.61,39.7,2766.45,93.1,5.97
3783.35,12.36,28.55,144.27,138.68,228.92,1769.24,78.74,113.55,38.21,2751.77,93.5,6.36
3784.36,11.92,28.25,144.46,138.87,229.74,1776.82,79.04,115.45,39.67,2742.79,93.05,6.36
3785.36,11.53,29.15,144.96,139.06,228.9,1779.85,78.14,93.42,40.07,2738.71,95.25,6.36
3786.36,11,27.96,144.84,139.29,227.49,1773.03,79.33,109.35,38.15,2743.63,93.15,6.36
3787.36,10.97,28.51,144.84,139.37,227.18,1762.42,78.78,102.49,38.18,2750.14,93.3,6.36
3788.37,11.53,28.68,144.92,139.48,227.49,1765.45,78.61,103.67,41.41,2750.14,92,6.36
3789.37,10.55,29.02,144.99,139.63,228.06,1768.48,78.27,89.87,40.98,2750.97,92.45,6.74
3790.37,10.1,28.89,145.22,139.63,228.22,1773.03,78.4,99.94,43.61,2747.68,92.05,5.97
3791.37,11.42,28.25,145.34,139.67,228.52,1775.3,79.04,109.89,39.85,2744.42,89.19,6.36
3792.38,9.65,27.66,145.34,139.82,227.94,1778.33,79.63,84.84,37.93,2743.63,89.24,6.74
3793.38,17.03,28.21,145.3,139.86,228.27,1800.3,79.08,135.13,24.45,2728.94,87.59,7.12
3794.38,13.26,28.51,145.34,139.6,229.21,1781.36,78.78,113.85,34.73,2738.71,87.59,6.74
3795.38,16.18,28.47,145.34,139.21,231.5,1814.7,78.82,125.06,31.13,2722.39,88.74,6.74
3796.39,14.9,28.68,145.37,138.95,232.82,1816.21,78.61,104.32,40.28,2715.05,86.64,6.36
3797.39,12.71,28.89,145.34,138.72,234.79,1822.28,78.4,110.04,30.95,2717.51,87.69,6.36
3798.4,12.4,27.91,144.65,137.8,236.61,1812.43,79.38,120.18,87.27,2728.11,89.69,7.12
3799.4,12.11,28.21,144.69,138.18,236.3,1862.43,79.08,131.66,70,2768.91,87.19,7.12
3800.4,12.07,28.13,144.8,138.57,236.51,1866.97,79.16,132.95,67.83,2761.57,87.19,7.12
3801.4,11.63,27.96,144.88,138.87,236.51,1861.67,79.33,124.19,71.74,2757.48,86.79,7.12
3802.41,12.97,28.81,144.88,139.18,236.9,1858.64,78.48,123.46,66.64,2759.11,89.09,7.12
3803.41,14.42,28.68,144.88,139.33,236.92,1860.16,78.61,123.31,64.69,2761.57,88.54,7.12
3804.41,14.42,27.87,144.99,139.4,236.73,1863.19,79.42,123.42,86.35,2759.94,92.55,7.12
3805.41,12.6,27.15,145.07,139.56,236.56,1853.34,80.14,144.28,68.66,2759.94,93.7,7.5
3806.41,15.1,28.94,145.22,139.48,237.52,1875.31,78.35,163,56.3,2746.05,91.95,7.5
3807.42,14.42,28.98,145.37,139.56,237.69,1894.25,78.31,159.34,53.03,2735.45,91.24,7.88
3808.42,15.15,27.79,145.45,139.67,238.07,1938.95,79.5,170.28,55.57,2706.91,86.39,7.88
3809.44,12.95,29.87,145.53,139.79,238.1,1887.43,77.42,158.76,51.75,2738.71,85.34,7.5
3810.44,12.62,27.83,145.68,139.98,238.1,1856.37,79.46,157.93,54.74,2759.94,87.24,7.5
3811.46,10.39,29.79,145.87,140.13,236.95,1848.79,77.5,160.1,46.96,2765.62,91.24,7.5
3812.47,11.5,29.19,145.95,140.28,236.47,1853.34,78.1,158.61,49.62,2764.83,93.05,7.5
3813.47,12.19,28.64,146.1,140.28,236.21,1849.55,78.65,146.72,37.9,2767.29,89.44,7.12
3814.47,12.45,28.34,146.18,140.4,236.04,1850.31,78.95,145.15,41.44,2760.74,92.05,7.5
3815.47,12.49,28.81,146.25,140.47,235.75,1857.88,78.48,166.28,41.14,2760.74,80.84,7.88
3816.48,13.32,28.85,146.33,140.62,235.74,1847.28,78.44,138.6,41.78,2766.45,88.44,7.12
3817.48,14.43,29.19,146.4,140.7,234.98,1848.03,78.1,154.91,39.43,2763.99,90.64,7.5
3818.48,11.75,28.38,146.52,140.78,234.77,1838.19,78.91,156.06,43.55,2763.2,91.8,7.88
3819.48,12.93,29.57,146.56,140.78,234.49,1841.97,77.72,148.81,35.19,2759.11,92.1,8.64
3820.48,13.93,28,146.63,140.82,234.37,1840.46,79.29,148.7,34.64,2755.85,89.94,8.64
3821.49,12.59,29.87,146.67,140.85,234.22,1838.94,77.42,155.45,40.07,2759.94,83.19,8.64
3822.49,11.84,27.49,146.71,140.85,234.24,1841.97,79.8,144.24,36.93,2761.57,85.74,8.26
3823.49,12.94,28.89,146.79,140.93,234.74,1845.76,78.4,160.82,39.67,2759.11,85.89,8.64
3824.49,17.11,28.04,146.82,140.51,236.8,1847.28,79.25,123.12,50.32,2756.65,85.29,8.26
3825.5,14.73,28.72,146.79,140.05,238.89,1842.73,78.57,116.06,58.62,2762.37,86.34,7.88
3826.5,11.87,28.17,146.67,139.67,241.7,1848.03,79.12,131.81,53.8,2759.94,87.54,8.26
3827.5,12.75,28.47,146.56,139.14,244.14,1850.31,78.82,122.2,56.42,2758.28,87.64,8.26
3828.5,18.21,27.79,146.48,138.95,245.88,1845.76,79.5,119.04,56.24,2759.11,88.19,7.88
3829.5,14.92,28.81,146.44,138.87,248.13,1845.76,78.48,112.48,56.48,2764.83,89.54,7.88
3830.51,13.02,28.13,146.25,138.83,249.87,1846.52,79.16,125.06,58.19,2768.08,89.04,8.26
3831.8,13,27.91,145.87,139.75,239.29,1821.52,79.38,117.21,38.21,2756.38,80.49,7.88
3832.8,13.66,29.15,145.87,139.86,240.54,1835.91,78.14,141.23,18.62,2730.3,83.49,8.26
3833.8,20.65,28.3,145.83,139.98,241.12,1843.49,78.99,125.82,24.75,2740.07,85.39,8.64
3834.8,21.59,28.38,145.79,140.01,241.2,1814.7,78.91,123.61,25.54,2725.42,86.19,8.26
3835.81,38.29,27.4,145.83,140.01,241.11,1840.46,79.89,132.19,15.78,2737.65,86.44,8.26
3836.81,36.78,29.28,145.87,139.98,241.22,1838.19,78.01,145.19,22.62,2722.96,85.84,8.64
3837.81,51.18,27.79,145.83,140.13,241.35,1835.91,79.5,130.51,21.06,2722.96,87.09,8.26
3838.81,45.61,29.32,145.87,140.09,241.5,1827.58,77.97,126.7,25.39,2730.3,86.79,8.64
3839.81,39.93,28.85,145.87,140.05,241.44,1813.94,78.44,129.07,21.55,2720.5,87.84,8.64
3840.81,46.18,28.34,145.83,140.13,241.48,1839.7,78.95,124.72,17.98,2733.56,85.49,8.64
3841.81,31.94,28.68,145.91,140.13,241.72,1824.55,78.61,133.18,19.96,2729.47,84.04,8.64
3842.81,21.61,27.32,145.95,140.21,241.88,1798.79,79.97,125.6,33.17,2731.93,79.14,8.26
3843.82,21.59,28.42,145.95,140.13,242.34,1800.3,78.87,103.71,34.06,2731.93,86.49,8.26
3844.82,21.08,27.66,145.98,140.09,242.62,1792.73,79.63,115.19,39.58,2734.35,86.64,8.64
3845.82,20.05,28.94,146.1,139.9,242.88,1795,78.35,106.8,34.12,2712.36,87.29,7.88
3846.82,19.5,28.42,146.14,140.09,242.87,1805.61,78.87,116.71,32.41,2712.36,81.84,8.64
3847.82,21.1,29.23,146.18,139.94,242.91,1808.64,78.06,130.48,33.32,2700.97,85.34,8.26
3848.83,23.27,28.89,146.21,139.98,243.49,1843.49,78.4,122.43,19.63,2687.07,84.89,8.64
3849.85,19.05,28.51,146.21,140.05,243.89,1824.55,78.78,105.92,30.67,2699.3,85.59,7.88
3850.85,15.54,29.19,146.25,140.05,244.02,1812.43,78.1,119.84,24.75,2700.13,89.64,8.26
3851.85,12.7,28.42,146.29,140.09,244.41,1811.67,78.87,135.13,39.34,2696.04,90.59,7.88
3852.85,13.41,29.06,146.33,140.05,244.56,1788.94,78.23,100.05,33.6,2727.84,93,7.5
3853.86,12.84,28.38,146.44,140.05,244.57,1776.82,78.91,112.52,36.93,2731.1,92,7.88
3854.86,15.1,29.32,146.44,140.13,244.73,1797.27,77.97,113.7,30.98,2728.67,90.39,7.88
3855.86,16.55,28.04,146.4,140.13,244.69,1797.27,79.25,127.65,25.09,2727.84,89.64,7.88
3856.86,23.9,28.13,146.44,140.09,245.01,1792.73,79.16,112.82,18.44,2703.39,91.75,8.26
3857.87,21.6,29.23,146.44,140.01,245.29,1790.46,78.06,111.95,31.49,2726.21,91.49,7.88
3858.87,21.86,28.42,146.44,140.17,245.42,1791.21,78.87,123.77,25.85,2716.45,91.65,7.88
3859.87,25.76,27.7,146.48,140.24,245.84,1805.61,79.59,107.79,22.52,2723.79,90.04,7.88
3860.87,13.31,28.72,146.52,140.28,246.23,1789.7,78.57,107.26,40.1,2738.44,90.59,7.88
3861.89,16.22,27.27,145.91,139.21,246.44,1846.52,80.02,145,42.6,2746.62,91.29,8.64
3862.89,22.6,28.47,145.98,139.29,246.84,1820.76,78.82,134.44,58.19,2736.02,92,7.88
3863.89,20.83,29.62,146.02,139.37,246.86,1829.85,77.67,141,50.59,2735.19,91.19,7.88
3864.89,16.1,27.91,146.1,139.44,246.87,1811.67,79.38,115.87,63.77,2740.07,93.1,7.5
3865.89,17.34,29.02,146.18,139.67,247.23,1810.15,78.27,133.3,51.66,2736.81,91.85,8.26
3866.89,13.66,28.64,146.29,139.75,247.67,1798.79,78.65,121.75,60.81,2740.07,91.85,7.5
3867.9,11.42,27.91,146.33,139.94,248.52,1791.21,79.38,125.06,61.82,2735.19,90.29,7.5
3868.9,12.97,27.66,146.33,140.01,248.63,1787.42,79.63,135.24,62.74,2727.05,91.85,7.5
3869.9,12.05,29.79,146.37,140.05,249.43,1785.91,77.5,134.21,57.09,2722.96,93.25,7.88
3870.9,11.52,28.51,146.29,140.21,250.12,1841.22,78.78,131.09,56.12,2718.87,88.84,7.88
3871.9,12.75,28.25,146.33,140.24,250.55,1823.79,79.04,115.49,59.44,2714.82,86.49,7.88
3872.91,14.85,30,146.4,140.36,250.59,1796.52,77.29,124.95,56.73,2740.9,84.34,8.26
3873.91,17.25,29.15,146.48,140.43,250.57,1792.73,78.14,128.19,56.66,2732.73,84.59,8.26
3874.91,14.49,28.13,146.56,140.51,250.83,1781.36,79.16,127.85,45.93,2729.47,87.19,7.88
3875.91,12.36,28.47,146.67,140.62,251.79,1799.55,78.82,125.29,21.88,2738.44,83.89,8.26
3876.91,13.1,28,146.79,140.66,252.25,1770.76,79.29,116.79,27.86,2735.19,88.89,8.64
3877.94,12.81,29.23,146.9,140.74,252.3,1788.18,78.06,107.07,34.27,2746.62,90.99,9.03
3878.94,12.03,30.13,147.01,140.89,252.78,1791.97,77.16,149.16,20.69,2740.07,92.2,9.79
3879.94,12.86,28.21,147.05,141.04,252.55,1794.24,79.08,123.69,10.99,2753.13,91.24,10.17
3880.94,13.51,28.17,147.13,141.23,252.6,1797.27,79.12,144.32,38.3,2749.87,93.25,10.55
3881.94,17.09,28.51,147.13,141.39,252.53,1792.73,78.78,127.92,69.91,2745.78,88.99,10.55
3882.95,14.86,28.51,147.13,141.54,252.41,1784.39,78.78,119.5,74.42,2738.44,90.74,10.55
3883.95,13.77,29.02,147.17,141.65,252.57,1816.97,78.27,122.77,59.38,2734.35,91.24,10.55
3884.95,12.11,28.76,147.24,141.77,252.62,1807.12,78.53,124.95,54.1,2744.16,89.44,10.93
3885.95,12.18,27.96,147.32,141.96,252.41,1804.09,79.33,113.97,61.21,2744.16,89.24,10.93
3886.96,13.82,28.76,147.43,142.07,252.23,1804.85,78.53,132.88,58.19,2764.52,85.34,10.93
3887.96,11.71,28.89,147.62,142.19,252.26,1821.52,78.4,112.98,40.77,2759.64,87.54,10.55
3888.96,17.87,28.89,147.74,142.38,252.25,1826.82,78.4,127.39,59.65,2766.15,88.54,10.55
3889.96,17.26,28.51,147.85,142.49,252,1835.15,78.78,137.99,57.49,2767.82,90.49,10.17
3890.96,21.87,29.15,147.93,142.61,251.89,1829.09,78.14,141.04,48.12,2753.92,89.84,10.17
3891.97,22.41,28.17,148.01,142.68,251.11,1822.28,79.12,122.66,61.73,2768.61,90.39,10.17
3892.97,17.75,27.62,148.12,142.8,250.65,1826.82,79.67,113.82,55.23,2771.87,89.94,9.79
3894,22.15,27.14,147.32,142.34,248.86,1734.39,90.15,108.4,46.41,2706.64,89.64,9.03
3895,26.46,27.49,147.55,142.19,249.01,1757.12,79.8,132.08,53.37,2698.51,88.49,9.41
3896,21.72,28.85,147.7,142.19,248.82,1760.15,78.44,125.48,56.57,2703.39,82.74,8.64
3897,21.47,28.89,147.81,142.23,248.6,1806.37,78.4,142.18,56.94,2741.7,85.59,9.41
3898,20.37,28.17,147.93,142.26,248.47,1792.73,79.12,118.47,54.62,2741.7,88.14,8.26
3899,15.81,28.59,148.12,142.42,248.08,1817.73,78.7,139.4,50.38,2758.01,91.19,8.64
3900.01,16.77,28.38,148.23,142.57,247.49,1818.49,78.91,129.45,62.86,2754.76,89.89,8.26
3901.01,19.4,28.3,148.23,142.68,247.32,1809.4,78.99,138.1,56.82,2746.62,87.39,8.26
3902.01,22.38,28.17,148.31,142.76,247.33,1810.91,79.12,106,55.93,2738.44,89.79,7.88
3903.01,18.39,28.47,148.42,142.84,246.88,1820.76,78.82,113.32,45.41,2741.7,89.34,7.5
3904.01,18.21,28.55,148.35,142.95,246.87,1821.52,78.74,130.32,49.34,2749.04,90.29,7.88
3905.02,18.31,28.59,148.46,143.03,246.87,1812.43,78.7,136.27,43.06,2744.95,88.04,7.5
3906.02,15.35,28.85,148.5,143.14,246.83,1810.91,78.44,128.38,53.06,2750.67,86.54,7.12
3907.02,15.47,29.11,148.5,143.22,246.27,1815.46,78.18,134.21,46.02,2740.9,84.19,7.12
3908.02,12.75,29.02,148.58,143.18,245.23,1796.52,78.27,128.91,51.75,2745.78,87.79,6.74
3909.02,13.21,28.81,148.65,143.22,244.92,1807.88,78.48,124.8,43.33,2742.53,89.04,6.74
3910.02,13.8,28.51,148.73,143.37,244.92,1810.15,78.78,121.97,46.41,2748.25,89.44,6.74
3911.03,17.56,28.34,148.81,143.29,244.94,1810.91,78.95,129.9,44.55,2732.73,81.59,5.97
3912.03,21.99,29.62,148.84,143.18,244.96,1806.37,77.67,149.54,42.72,2731.93,88.24,6.36
3913.03,17.86,28.98,148.88,143.1,244.92,1806.37,78.31,121.44,38.94,2740.07,83.79,5.97
3914.03,17.34,28.25,148.88,143.18,244.58,1806.37,79.04,133.03,50.11,2741.7,88.64,5.97
3915.03,17.86,28.04,148.84,143.26,244.17,1808.64,79.25,110.38,48.52,2740.07,86.49,6.36
3916.04,19.39,27.1,148.88,143.26,243.66,1826.82,80.19,127.01,45.44,2751.5,88.19,6.74
3917.04,24.71,27.49,148.88,143.26,243.24,1848.03,79.8,159.18,54.62,2741.7,87.64,6.74
3918.04,27.97,29.57,148.92,143.29,243.19,1841.97,77.72,144.81,53.4,2745.78,85.14,6.74
3919.04,21.73,27.23,148.92,143.29,243.19,1841.97,80.06,141.49,49.37,2740.9,87.84,6.36
3920.04,31.37,27.4,148.96,143.29,243.19,1864.7,79.89,198.45,34.7,2730.3,89.34,7.5
3921.05,27.75,29.62,149,143.29,243.18,1834.4,77.67,217.59,39.79,2735.19,88.39,7.12
3922.05,25.76,28.81,148.96,143.33,243.18,1833.64,78.48,153.62,60.23,2739.27,89.29,6.74
3923.05,28.37,28.25,149,143.33,243.11,1845.76,79.04,176.19,44.55,2740.9,90.94,6.74
3924.05,26.34,28.3,149.03,143.41,242.83,1831.37,78.99,144.51,53.03,2737.65,93.5,6.36
3925.05,21.87,27.66,149.03,143.41,242.39,1838.19,79.63,133.37,55.72,2736.02,94.35,5.97
3926.06,20.17,28.13,149.23,143.41,241.29,1842.73,79.16,144.35,53.06,2751.5,92.15,5.97
3927.08,24.66,29.49,149.72,143.41,241.24,1839.7,77.8,151.86,44.31,2736.81,94.45,5.97
3928.09,25.19,28.85,148.62,142.65,237.94,1874.55,78.44,165.32,43.67,2746.62,92.05,5.97
3929.09,22.83,29.23,148.77,142.84,237.89,1864.7,78.06,150.07,75.86,2742.53,91.7,5.97
3930.11,25.34,29.06,148.84,142.91,237.89,1856.37,78.23,159.34,52.21,2736.02,90.49,5.97
3931.11,21.97,29.4,149.03,142.99,237.55,1844.25,77.89,156.29,45.8,2727.84,89.24,5.97
3932.12,18.22,30,149.11,143.14,237.46,1840.46,77.29,210.88,55.2,2737.65,90.94,6.36
3933.12,17.27,29.57,149.23,143.26,237.14,1829.85,77.72,208.98,48.7,2727.05,91.34,6.36
3934.12,15.42,27.49,149.3,143.37,236.12,1856.37,79.8,122.55,46.6,2763.73,95.35,5.59
3935.12,15.56,28,149.26,143.48,235.81,1837.43,79.29,133.56,55.54,2751.5,92.55,5.59
3936.13,16.18,28.59,149.26,143.56,235.71,1846.52,78.7,140.12,52.55,2758.01,92.15,5.59
3937.15,19.64,29.23,149.26,143.52,235.68,1871.52,78.06,148.81,44.8,2741.7,91.49,6.36
3938.15,19.5,27.87,149.26,143.52,235.73,1870.76,79.42,130.97,44.37,2755.55,87.69,5.97
3939.15,23.58,27.57,149.26,143.52,234.97,1870.76,79.72,139.51,49.1,2771.07,86.64,5.97
3940.15,22.98,23.27,149.26,143.48,234.63,1847.28,84.02,166.5,60.11,2782.47,85.94,6.36
3941.15,20.24,19.74,149.3,143.52,234.18,1841.22,87.55,136.8,47.85,2774.33,88.59,5.97
3942.15,20.14,20.67,149.34,143.52,233.95,1824.55,86.61,127.31,54.16,2750.67,89.39,5.59
3943.16,18.88,20.38,149.42,143.45,233.73,1843.49,86.91,124.64,45.89,2758.84,92.55,5.59
3944.16,23.25,20.5,149.45,143.48,233.09,1860.91,86.79,135.24,34.21,2751.5,92.65,6.36
3945.16,24.9,19.74,149.45,143.48,232.93,1852.58,87.55,136.12,48.46,2757.22,91.85,5.97
3946.16,22.83,20.21,149.49,143.52,232.43,1851.06,87.08,144.47,55.57,2757.22,93.65,5.97
3947.16,16.93,20.33,149.49,143.48,232.01,1837.43,86.96,127.2,52.09,2753.92,92.15,5.97
3948.18,15.39,21.1,149.45,143.41,230.47,1811.67,86.19,137.91,47.66,2769.44,90.39,5.59
3949.18,12.38,20.76,149.42,143.33,228.76,1813.94,86.53,139.93,46.84,2762.1,88.49,5.59
3950.19,13.36,19.91,149.38,143.33,228.76,1823.03,87.38,117.44,48.27,2754.76,89.84,5.21
3951.19,14.9,20.08,149.42,143.45,228.75,1839.7,87.21,136.31,55.32,2759.64,94.55,5.59
3952.19,14.3,20.04,149.38,143.37,228.42,1829.85,87.25,130.4,55.35,2753.92,92.9,5.21
3953.19,15.96,20.46,149.45,143.33,228.43,1840.46,86.83,138.98,50.72,2754.76,95.1,5.21
3954.19,16.26,20.59,149.49,143.14,227.39,1838.94,86.7,143.63,51.11,2750.67,94.55,5.21
3955.2,20.03,19.7,149.49,142.84,227.73,1829.85,87.59,145.08,55.87,2746.62,94.35,5.21
3956.2,20.84,19.61,149.42,142.45,229.56,1842.73,87.68,146.87,49.68,2749.87,92.2,4.83
3957.2,23.42,20.67,149.26,142,230.46,1834.4,86.61,147.37,51.72,2749.04,92.35,4.83
3958.21,13.2,19.61,147.97,139.21,239.42,1832.12,87.68,142.49,46.05,2762.9,93.9,4.45
3959.21,13.13,20.21,147.97,139.37,241.09,1811.67,87.08,148.05,49.37,2740.9,94.8,4.45
3960.22,14.9,19.95,147.89,139.94,241.4,1810.91,87.34,146.72,48.55,2742.53,94.3,4.45
3961.22,11.45,20.12,147.66,140.74,241.81,1814.7,87.17,207.3,43.52,2751.5,92.9,4.83
3962.23,4.8,16.16,144.54,138.79,216.34,1866.22,91.13,170.66,44.31,2744.95,88.69,7.88
